,Unnamed: 0_x,date,journey,start_quadkey,end_quadkey,n_crisis,Unnamed: 0_y,quadkey,GID_0,NAME_0,GID_1,NAME_1,GID_2,NAME_2,GID_3,NAME_3
0,0,2020-03-19,031131233122_031131233310,031131233122,031131233310,3.2212643330591697,28,031131233122,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.23_1,Orkney Islands,GBR.3.23.1_1,Orkney Islands
1,1,2020-03-19,031131233210_031131233310,031131233210,031131233310,5.844334730528063,29,031131233210,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.23_1,Orkney Islands,GBR.3.23.1_1,Orkney Islands
2,2,2020-03-19,031131233310_031131233031,031131233310,031131233031,2.9753231581179187,33,031131233310,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.23_1,Orkney Islands,GBR.3.23.1_1,Orkney Islands
3,3,2020-03-19,031131233310_031131233122,031131233310,031131233122,5.7027027197260125,33,031131233310,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.23_1,Orkney Islands,GBR.3.23.1_1,Orkney Islands
4,4,2020-03-19,031131233310_031131233210,031131233310,031131233210,8.182138684824276,33,031131233310,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.23_1,Orkney Islands,GBR.3.23.1_1,Orkney Islands
5,5,2020-03-19,031131310012_031131310001,031131310012,031131310001,3.268054814565819,12,031131310012,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.27_1,Shetland Islands,GBR.3.27.1_1,Shetland Islands
6,6,2020-03-19,031131310012_031131310021,031131310012,031131310021,6.239013736898383,12,031131310012,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.27_1,Shetland Islands,GBR.3.27.1_1,Shetland Islands
7,7,2020-03-19,031131310012_031131310030,031131310012,031131310030,27.035726193226317,12,031131310012,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.27_1,Shetland Islands,GBR.3.27.1_1,Shetland Islands
8,8,2020-03-19,031131310012_031131310031,031131310012,031131310031,4.159342491265588,12,031131310012,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.27_1,Shetland Islands,GBR.3.27.1_1,Shetland Islands
9,9,2020-03-19,031131310021_031131310012,031131310021,031131310012,3.104571906123732,14,031131310021,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.27_1,Shetland Islands,GBR.3.27.1_1,Shetland Islands
10,10,2020-03-19,031131310030_031131310012,031131310030,031131310012,19.876022501898394,16,031131310030,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.27_1,Shetland Islands,GBR.3.27.1_1,Shetland Islands
11,11,2020-03-19,031131310203_031131310012,031131310203,031131310012,2.1458237194277805,18,031131310203,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.27_1,Shetland Islands,GBR.3.27.1_1,Shetland Islands
12,12,2020-03-19,031133010303_031133010311,031133010303,031133010311,9.980834995725278,90,031133010303,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.17_1,Highland,GBR.3.17.1_1,Highland
13,13,2020-03-19,031133010303_031133011200,031133010303,031133011200,2.8516671416357937,90,031133010303,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.17_1,Highland,GBR.3.17.1_1,Highland
14,14,2020-03-19,031133010303_031133013100,031133010303,031133013100,7.129167854089482,90,031133010303,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.17_1,Highland,GBR.3.17.1_1,Highland
15,15,2020-03-19,031133010311_031133010303,031133010311,031133010303,9.914071074911048,91,031133010311,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.17_1,Highland,GBR.3.17.1_1,Highland
16,16,2020-03-19,031133010311_031133011200,031133010311,031133011200,9.222391697591672,91,031133010311,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.17_1,Highland,GBR.3.17.1_1,Highland
17,17,2020-03-19,031133010311_031133011220,031133010311,031133011220,2.305597924397918,91,031133010311,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.17_1,Highland,GBR.3.17.1_1,Highland
18,18,2020-03-19,031133010311_031133013100,031133010311,031133013100,8.530712320272297,91,031133010311,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.17_1,Highland,GBR.3.17.1_1,Highland
19,19,2020-03-19,031133011200_031133010303,031133011200,031133010303,1.8769374758589268,95,031133011200,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.17_1,Highland,GBR.3.17.1_1,Highland
20,20,2020-03-19,031133011200_031133010311,031133011200,031133010311,7.883137398607492,95,031133011200,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.17_1,Highland,GBR.3.17.1_1,Highland
21,21,2020-03-19,031133011322_031133013100,031133011322,031133013100,7.11591040538409,101,031133011322,GBR,United Kingdom,GBR.3_1,Scotland,GBR.3.17_1,Highland,GBR.3.17.1_1,Highland
